filename,glcm_contrast_mean,glcm_contrast_std,glcm_dissimilarity_mean,glcm_dissimilarity_std,glcm_homogeneity_mean,glcm_homogeneity_std,glcm_energy_mean,glcm_energy_std,glcm_correlation_mean,glcm_correlation_std,glcm_ASM_mean,glcm_ASM_std,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7
Vivo_21_H4f1_Kiri_cutout.png,0.30790306138599605,0.1756151543816706,0.17098153038732175,0.0636796591104912,0.9256174463808536,0.0233467574333224,0.47484190732922404,0.012521851472470244,0.9808348951315061,0.010908434934079584,0.2256316337203539,0.011843634094604394,0.011608123779296875,0.037570953369140625,0.015575408935546875,0.10560989379882812,0.1080474853515625,0.24123001098632812,0.08693313598632812,0.08489608764648438,0.24718475341796875,0.061344146728515625,0.015093485824763775,0.10276540368795395,0.11666742712259293,0.0945892333984375,0.0013936361065134406,6.4849853515625e-05,0.0006968180532567203,9.918212890625e-05,4.704793173004873e-05,0.00014623005699831992,0.00046666464186273515,0.00013605754065793008,6.739298260072246e-05,1.3987223610456567e-05,0.00031407675123773515,0.0007718403940089047,0.24273300170898438,0.010958353988826275,0.003643035888671875,0.00351715087890625,0.0036519367713481188,0.002483367919921875,0.0024274189490824938,0.0048586525954306126,0.009639739990234375,0.012697855941951275,0.01902262307703495,0.0157318115234375,0.0018488565692678094,8.900960528990254e-05,1.6530355424038135e-05,1.3987223610456567e-05,7.62939453125e-05,0.0028216044884175062,0.014919281005859375,0.04809315875172615,0.0164362583309412,0.0659891739487648,0.18499629199504852,1.271565793103946e-06
Vivo_21_H4f2_Kanan_cutout.png,0.4605753297863351,0.2824516858566637,0.2069118845392062,0.07801011462347274,0.914492083069538,0.025854105724661076,0.4281273358004442,0.014645446778926095,0.9727895500379996,0.016639347063915674,0.1835075047709406,0.012468480311817774,0.01320648193359375,0.03852081298828125,0.01677703857421875,0.10853195190429688,0.10676956176757812,0.24124526977539062,0.08923721313476562,0.08664321899414062,0.23362350463867188,0.0654449462890625,0.0038897197227925062,0.006450653076171875,0.0158233642578125,0.057450611144304276,0.026702880859375,0.001529693603515625,0.19748687744140625,0.017297109588980675,0.0007616679067723453,0.003330230712890625,0.0019518533954396844,0.000335693359375,4.704793173004873e-05,1.6530355424038135e-05,0.00011952718341490254,0.00013987223792355508,0.2587699890136719,0.0029652912635356188,0.002712249755859375,0.0023714702110737562,0.0020345051307231188,0.001987457275390625,0.0024782817345112562,0.0037994384765625,0.0056966147385537624,0.01098759938031435,0.014766693115234375,0.0151430768892169,0.00743865966796875,0.001987457275390625,0.00013605754065793008,5.849202352692373e-05,6.4849853515625e-05,0.0027109782677143812,0.011500041000545025,0.034422557801008224,0.02491251565515995,0.09497197717428207,0.16473643481731415,1.3987223610456567e-05
Vivo_21_H4f2_Kiri_cutout.png,0.46665845357848096,0.27901687760493465,0.2052201789717796,0.07368198077318579,0.9155020394074297,0.024128321453741185,0.45727614154854895,0.013636130957553784,0.976513102946186,0.013996775313818299,0.20928741369702017,0.012412745425995712,0.013820648193359375,0.040073394775390625,0.015743255615234375,0.09972763061523438,0.09584808349609375,0.2389373779296875,0.08248519897460938,0.08315658569335938,0.26805877685546875,0.0621490478515625,0.028934478759765625,0.0057042441330850124,0.16689173877239227,0.060970306396484375,0.05142974853515625,0.00030644735670648515,0.01517486572265625,0.00032170614576898515,0.00018310546875,0.0005327860708348453,0.0013758341083303094,0.0011342366924509406,7.375081622740254e-05,1.9073486328125e-05,0.00019073486328125,9.028116619447246e-05,0.2541452944278717,0.0026461284141987562,0.003246307373046875,0.0019938151817768812,0.0015347799053415656,0.0012118021259084344,0.0011736551532521844,0.001590728759765625,0.0028508503455668688,0.00935490895062685,0.01671600341796875,0.0235773716121912,0.009854634292423725,0.0028076171875,0.00048192343092523515,0.00014750163245480508,8.900960528990254e-05,0.0022939045447856188,0.02007293701171875,0.0407257080078125,0.014682769775390625,0.09674835205078125,0.15872065722942352,0.0
Vivo_22_H4f1_Kanan_cutout.png,0.43071435036168265,0.2288882001739554,0.21403834903733535,0.07539876146202289,0.9088257229546625,0.027288661616904724,0.40596553506446886,0.014770365974815259,0.9781302918945705,0.01159305732386252,0.16502617937121042,0.011925588244834027,0.0144805908203125,0.04334259033203125,0.01859283447265625,0.1040496826171875,0.11460113525390625,0.23711395263671875,0.08760452270507812,0.08642578125,0.2250823974609375,0.06870651245117188,0.0042559304274618626,0.0592142753303051,0.04675547406077385,0.09963607788085938,0.10379409790039062,0.0016848245868459344,0.011174519546329975,0.0020281474571675062,0.00035985311842523515,0.00042851766920648515,0.0005137125845067203,0.000705718994140625,0.0015716552734375,0.00016276042151730508,0.0007158915395848453,0.000331878662109375,0.2318318635225296,0.0074475607834756374,0.0042864480055868626,0.0074310302734375,0.0045750937424600124,0.0038388569373637438,0.0031382243614643812,0.0030568439979106188,0.004253387451171875,0.011110941879451275,0.026053110137581825,0.02150472067296505,0.0041758217848837376,0.0005175272817723453,7.375081622740254e-05,3.814697265625e-05,1.6530355424038135e-05,0.0033785502891987562,0.032672882080078125,0.04914601519703865,0.014859517104923725,0.06879043579101562,0.16442744433879852,4.1961669921875e-05
Vivo_22_H4f1_Kiri_cutout.png,0.3962199120465657,0.2249594927625374,0.20428912077051511,0.07375261192284985,0.9128678088889873,0.025797606114868223,0.4211873715818679,0.010726863433482878,0.9837453023242525,0.009201968138863719,0.17751386757916313,0.0089981338366114,0.0147857666015625,0.04131317138671875,0.019367218017578125,0.10253143310546875,0.10746002197265625,0.23151016235351562,0.08083343505859375,0.08364486694335938,0.2545280456542969,0.06402587890625,0.01258722972124815,0.08308538049459457,0.08782958984375,0.07090631872415543,0.0073534646071493626,0.00022633869957644492,0.006412506103515625,0.0007006327505223453,0.003475189208984375,0.04613494873046875,0.00808588694781065,0.0005404154653660953,0.00014623005699831992,0.00021107991051394492,0.0047403969801962376,0.0008977254037745297,0.22795867919921875,0.0057423911057412624,0.0025494892615824938,0.0036646525841206312,0.003986358642578125,0.0056928000412881374,0.008197784423828125,0.009838104248046875,0.01238250732421875,0.01609293557703495,0.022449493408203125,0.012324015609920025,0.0019887287635356188,0.0003204345703125,0.00010045369708677754,4.450480264495127e-05,0.00010045369708677754,0.01076507568359375,0.051044464111328125,0.029890695586800575,0.0106875104829669,0.057305652648210526,0.1735331267118454,6.357828624459216e-06
Vivo_22_H4f2_Kanan_cutout.png,0.4420131555199694,0.2665110185502181,0.20654506189309677,0.07715510601382039,0.9144107705098731,0.02567135657053464,0.4269592710336522,0.013537742696517113,0.9728545607836535,0.016347692486603255,0.18247748959890484,0.011498914109918401,0.0140838623046875,0.041332244873046875,0.01837921142578125,0.11222076416015625,0.1204833984375,0.23402786254882812,0.08977890014648438,0.08835983276367188,0.2164154052734375,0.06491851806640625,0.02210489846765995,0.036866504698991776,0.048854827880859375,0.06519445031881332,0.0057245888747274876,0.00048192343092523515,0.040775299072265625,0.044677734375,0.062203723937273026,0.0034230549354106188,0.0013643900165334344,0.0007413228158839047,0.00023396809410769492,9.409586346009746e-05,0.00040562948561273515,0.000186920166015625,0.23377864062786102,0.00492095947265625,0.007091522216796875,0.0034891765099018812,0.0037066142540425062,0.0034357707481831312,0.0037968952674418688,0.0036099751014262438,0.003742218017578125,0.0068486533127725124,0.0172119140625,0.024532318115234375,0.013361613266170025,0.0033721923828125,0.000347137451171875,8.7738037109375e-05,0.00020853678870480508,0.0064379372633993626,0.02605438232421875,0.0476938895881176,0.01860809326171875,0.09472274780273438,0.1395518034696579,5.594889444182627e-05
Vivo_22_H4f2_Kiri_cutout.png,0.3942933386130581,0.24919772330491222,0.1949292537173221,0.07695408583061855,0.9175756887581513,0.026355024594881905,0.47888185781218495,0.011577038386421991,0.9829803698259786,0.010727608251198468,0.2294618615594504,0.011045428828975844,0.012248992919921875,0.03924560546875,0.018337249755859375,0.1108856201171875,0.12377548217773438,0.23732376098632812,0.0890350341796875,0.085906982421875,0.22109603881835938,0.062145233154296875,0.0008786519174464047,0.012987772934138775,0.02616373635828495,0.058152515441179276,0.002346038818359375,0.00266265869140625,0.017500558868050575,0.1808268278837204,0.02919769287109375,0.0017636617412790656,0.0005938212270848453,3.941853719879873e-05,5.849202352692373e-05,1.9073486328125e-05,6.230672443052754e-05,8.0108642578125e-05,0.2376759797334671,0.0038770039100199938,0.00331878662109375,0.0032285053748637438,0.003345489501953125,0.003810882568359375,0.0040105185471475124,0.004024505615234375,0.0060284934006631374,0.0105044050142169,0.015027363784611225,0.019532522186636925,0.013875325210392475,0.0039876303635537624,0.0007171630859375,0.00036875405930913985,0.0014127095928415656,0.01425933837890625,0.046899158507585526,0.0256678257137537,0.0071093239821493626,0.0941314697265625,0.1438395231962204,1.3987223610456567e-05
Vivo_23_H4f1_Kanan_cutout.png,0.3400174660325557,0.1947386970973317,0.18958583844887755,0.06942979254957597,0.9170703355642839,0.025557932750645246,0.439228072896604,0.014459713030490472,0.9842070718782701,0.00901855744731759,0.19313038332138863,0.012642989870175475,0.012798309326171875,0.04177093505859375,0.018886566162109375,0.11001968383789062,0.1212615966796875,0.23736953735351562,0.0938873291015625,0.08636474609375,0.21075057983398438,0.06689071655273438,0.0070241293869912624,0.0632171630859375,0.10733922570943832,0.05546824261546135,0.054223377257585526,5.7220458984375e-05,0.0403798408806324,0.00016276042151730508,0.0001068115234375,0.0015017191180959344,0.000942230224609375,0.00043233236647211015,0.0001068115234375,6.866455078125e-05,0.0019022623309865594,0.000400543212890625,0.24072901904582977,0.008464813232421875,0.00319671630859375,0.0036671955604106188,0.003978729248046875,0.0034879047889262438,0.003658294677734375,0.0046437582932412624,0.006259918212890625,0.0135650634765625,0.021790822967886925,0.017401376739144325,0.0023256938438862562,0.00013097126793581992,2.288818359375e-05,1.0172526344831567e-05,0.0,0.0041936240158975124,0.04211171343922615,0.0347086600959301,0.0051104226149618626,0.08316930383443832,0.16401036083698273,2.9246011763461865e-05
Vivo_23_H4f1_Kiri_cutout.png,0.47405188048924524,0.2882815064934962,0.217805915844538,0.08034581907436307,0.9086386643041253,0.027539588184349147,0.38485021266944003,0.01528224861574908,0.9789753514105931,0.012747601352485946,0.14834323331446678,0.011693963803613417,0.01255035400390625,0.0396270751953125,0.0176544189453125,0.10824203491210938,0.10785675048828125,0.23614883422851562,0.08800888061523438,0.08702850341796875,0.239105224609375,0.06377792358398438,0.003276824951171875,0.008539835922420025,0.059892017394304276,0.08667755126953125,0.056578319519758224,0.0048433938063681126,0.028949737548828125,0.0127779645845294,0.05617523193359375,0.013631184585392475,0.0005238850717432797,0.000522613525390625,0.00025049844407476485,0.00012715657067019492,0.00027592977858148515,0.00029118856764398515,0.24642817676067352,0.0040562949143350124,0.004638671875,0.004795074462890625,0.0026919047813862562,0.0023956298828125,0.0020205180626362562,0.0019772846717387438,0.003864288330078125,0.010602314956486225,0.026767730712890625,0.02072652243077755,0.0019963581580668688,0.00022633869957644492,7.883707439759746e-05,6.739298260072246e-05,5.976359170745127e-05,0.0048993430100381374,0.018878936767578125,0.050642650574445724,0.011821746826171875,0.09841156005859375,0.14861933887004852,0.0
Vivo_23_H4f2_Kanan_cutout.png,0.3761779407775505,0.21504099774768967,0.2014343513472346,0.07195963124724548,0.912898704706751,0.025740185857039674,0.4507261497839037,0.013814378576167338,0.9812848947072145,0.010668099584363907,0.20334489915446766,0.012403195747159477,0.014438629150390625,0.043849945068359375,0.020252227783203125,0.109130859375,0.11733245849609375,0.22990036010742188,0.09168624877929688,0.0867919921875,0.2161407470703125,0.07047653198242188,0.0022023518104106188,0.0116793317720294,0.0476531982421875,0.15139007568359375,0.11557134240865707,0.0005556742544285953,0.0020421345252543688,0.00026575723313726485,0.00012079874431947246,0.0005353291635401547,0.0007489522104151547,0.00012969970703125,4.1961669921875e-05,1.0172526344831567e-05,0.00023396809410769492,0.000152587890625,0.24428050220012665,0.004604339599609375,0.0034383137244731188,0.0026601154822856188,0.002315521240234375,0.0023053486365824938,0.002285003662109375,0.002532958984375,0.0035769145470112562,0.0062243142165243626,0.01343536376953125,0.028395334258675575,0.014963786117732525,0.0020306904334574938,0.000209808349609375,7.502237713197246e-05,0.00012461344886105508,0.005126953125,0.03003438375890255,0.047334033995866776,0.0040842690505087376,0.06060791015625,0.18592579662799835,9.5367431640625e-05
